pruning_level,scenario,masking_mode,pruning_method,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse,top10_coordinate_ratio,top10_superordinate_ratio,top10_domain_ratio,noise_floor_top1_acc,noise_floor_mrr,noise_floor_entropy,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.7,text_only,static,l1_unstructured,0.013333333656191826,0.013333333656191826,0.08305555555555555,0.7702777777777777,0.07179420943460314,6.16126823425293,1.0,0.514294445514679,1.0,502,4948,878,776,0.07758333333333334,0.7561944444444445,0.9005277777777779,,,,4400,2800,0.01840909090909091,0.005357142857142857,0.013051948051948052
0.75,text_only,static,l1_unstructured,0.023055555298924446,0.023055555298924446,0.08833333333333333,0.70375,0.08606794321524924,6.161543846130371,1.0,0.5420655608177185,1.0,470,4431,748,1385,0.08688888888888889,0.7725972222222223,0.8870694444444445,,,,4400,2800,0.02590909090909091,0.018571428571428572,0.007337662337662337
0.8,text_only,static,l1_unstructured,0.034166667610406876,0.034166667610406876,0.13458333333333333,0.5683333333333334,0.10170251543686779,6.121318817138672,1.0,0.6057392954826355,1.0,723,3123,2208,900,0.10201388888888889,0.65425,0.8638611111111113,,,,4400,2800,0.027045454545454546,0.04535714285714286,-0.018311688311688314
0.85,text_only,static,l1_unstructured,0.03291666507720947,0.03291666507720947,0.10236111111111111,0.5038888888888889,0.09506703092796259,6.142498016357422,1.0,0.6096794605255127,1.0,500,2891,1066,2506,0.07663888888888888,0.575861111111111,0.803638888888889,,,,4400,2800,0.031363636363636364,0.03535714285714286,-0.0039935064935064934
0.9,text_only,static,l1_unstructured,0.027361111715435982,0.027361111715435982,0.09375,0.7761111111111111,0.08562045890645381,6.163627624511719,1.0,0.5881757736206055,1.0,478,4913,1016,596,0.07012499999999999,0.7035138888888889,0.8736666666666666,,,,4400,2800,0.02772727272727273,0.026785714285714284,0.0009415584415584446
0.0,vision_only,static,l1_unstructured,0.5556944608688354,0.5556944608688354,0.7265277777777778,0.9356944444444445,0.6713155143139147,1.9807963371276855,1.0,1.0,1.0,1230,1506,224,239,0.3061111111111111,0.8252083333333333,0.9221944444444444,,,,4400,2800,0.5459090909090909,0.5710714285714286,-0.025162337662337664
0.05,vision_only,static,l1_unstructured,0.5550000071525574,0.5550000071525574,0.7277777777777777,0.9359722222222222,0.6715323903192263,1.9730324745178223,0.9991726279258728,1.0,0.9268055555555555,1244,1499,218,243,0.30625,0.8253055555555556,0.9218472222222222,,,,4400,2800,0.5443181818181818,0.5717857142857142,-0.02746753246753242
0.1,vision_only,static,l1_unstructured,0.5577777624130249,0.5577777624130249,0.7268055555555556,0.9355555555555556,0.6749097606757167,2.0116348266601562,0.9866122007369995,1.0,0.7513611111111111,1217,1503,215,249,0.30813888888888896,0.8230277777777779,0.9214166666666668,,,,4400,2800,0.5470454545454545,0.5746428571428571,-0.02759740259740262
0.15,vision_only,static,l1_unstructured,0.586388885974884,0.586388885974884,0.7404166666666666,0.9338888888888889,0.7002579789904305,2.2451300621032715,0.927558183670044,1.0,0.4993888888888889,1109,1393,220,256,0.3110138888888889,0.811888888888889,0.9207916666666668,,,,4400,2800,0.5725,0.6082142857142857,-0.0357142857142857
0.2,vision_only,static,l1_unstructured,0.5469444394111633,0.5469444394111633,0.7022222222222222,0.9161111111111111,0.6671191131354361,2.5024702548980713,0.8379342555999756,1.0,0.31633333333333336,1118,1540,310,294,0.29456944444444444,0.7927361111111112,0.9171805555555557,,,,4400,2800,0.5272727272727272,0.5778571428571428,-0.05058441558441562
0.25,vision_only,static,l1_unstructured,0.46569445729255676,0.46569445729255676,0.6304166666666666,0.8927777777777778,0.5965116538200484,2.930626153945923,0.7409916520118713,1.0,0.21158333333333332,1186,1889,439,333,0.2784444444444445,0.7775,0.9131527777777779,,,,4400,2800,0.4511363636363636,0.48857142857142855,-0.03743506493506493
0.3,vision_only,static,l1_unstructured,0.3611111044883728,0.3611111044883728,0.5263888888888889,0.8686111111111111,0.4943583116530057,3.592297315597534,0.6314582824707031,1.0,0.1388611111111111,1190,2464,561,385,0.2467361111111111,0.7735972222222222,0.9121111111111112,,,,4400,2800,0.3386363636363636,0.3964285714285714,-0.057792207792207784
0.35,vision_only,static,l1_unstructured,0.19986110925674438,0.19986110925674438,0.3536111111111111,0.8508333333333333,0.3339404200183105,4.181369304656982,0.506701648235321,1.0,0.08636111111111111,1107,3580,673,401,0.19702777777777777,0.7808472222222222,0.9215416666666667,,,,4400,2800,0.17272727272727273,0.2425,-0.06977272727272726
0.4,vision_only,static,l1_unstructured,0.08833333104848862,0.08833333104848862,0.23,0.8304166666666667,0.21107326240064342,4.372769355773926,0.42592793703079224,1.0,0.06255555555555556,1020,4323,733,488,0.15019444444444446,0.7841111111111112,0.9271666666666667,,,,4400,2800,0.07454545454545454,0.11,-0.03545454545454546
0.45,vision_only,static,l1_unstructured,0.028333334252238274,0.028333334252238274,0.11819444444444445,0.81375,0.10770811743283326,4.292434215545654,0.2980111241340637,1.0,0.042722222222222224,647,5008,840,501,0.08805555555555555,0.7037916666666668,0.9227083333333334,,,,4400,2800,0.01818181818181818,0.04428571428571428,-0.0261038961038961
0.5,vision_only,static,l1_unstructured,0.027499999850988388,0.027499999850988388,0.12375,0.8175,0.09160670992066765,4.588301181793213,0.2754797637462616,1.0,0.037722222222222226,693,4995,807,507,0.07713888888888888,0.7648194444444445,0.9225833333333334,,,,4400,2800,0.012045454545454545,0.05178571428571429,-0.03974025974025974
0.55,vision_only,static,l1_unstructured,0.013611110858619213,0.013611110858619213,0.027777777777777776,0.8183333333333334,0.07755901888158234,4.157105922698975,0.22984996438026428,1.0,0.03286111111111111,102,5692,800,508,0.071375,0.8010694444444445,0.9194722222222224,,,,4400,2800,0.022272727272727274,0.0,0.022272727272727274
0.6,vision_only,static,l1_unstructured,0.015694444999098778,0.015694444999098778,0.03222222222222222,0.8191666666666667,0.07225360655963635,4.556888580322266,0.23342545330524445,1.0,0.02827777777777778,119,5666,798,504,0.04988888888888889,0.7085000000000001,0.8475694444444447,,,,4400,2800,0.024772727272727273,0.0014285714285714286,0.023344155844155844
