pruning_level,scenario,masking_mode,pruning_method,top1_specific_acc,top5_specific_acc,top10_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,coordinate error,superordinate error,domain error,domain collapse,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.25,joint,static,l1_unstructured,0.5636363625526428,0.8848484754562378,0.9575757384300232,0.7636363636363637,0.896969696969697,0.7027208481753937,1.9780209064483643,33,22,10,7,95,70,0.5263157894736842,0.6142857142857143,-0.08796992481203014
0.275,joint,static,l1_unstructured,0.5090909004211426,0.800000011920929,0.9272727370262146,0.703030303030303,0.8909090909090909,0.6431815173026826,2.275395154953003,32,31,11,7,95,70,0.5052631578947369,0.5142857142857142,-0.009022556390977376
0.3,joint,static,l1_unstructured,0.4363636374473572,0.7151514887809753,0.8848484754562378,0.6606060606060606,0.8848484848484849,0.5721247355338265,2.658435821533203,37,37,12,7,95,70,0.4631578947368421,0.4,0.06315789473684208
0.325,joint,static,l1_unstructured,0.3636363744735718,0.6727272868156433,0.8303030133247375,0.5878787878787879,0.8909090909090909,0.5097270650582264,3.0545523166656494,37,50,11,7,95,70,0.35789473684210527,0.37142857142857144,-0.013533834586466176
0.35,joint,static,l1_unstructured,0.23636363446712494,0.6121212244033813,0.7272727489471436,0.4666666666666667,0.7696969696969697,0.40465833208200513,3.36822247505188,38,50,18,20,95,70,0.23157894736842105,0.24285714285714285,-0.011278195488721804
0.375,joint,static,l1_unstructured,0.16969697177410126,0.5030303001403809,0.6484848260879517,0.34545454545454546,0.6787878787878788,0.3317183811947209,3.625035524368286,29,55,32,21,95,70,0.16842105263157894,0.17142857142857143,-0.0030075187969924866
0.4,joint,static,l1_unstructured,0.13333334028720856,0.38787877559661865,0.6121212244033813,0.2909090909090909,0.6545454545454545,0.27612946613769823,3.907274007797241,26,60,41,16,95,70,0.11578947368421053,0.15714285714285714,-0.041353383458646614
0.425,joint,static,l1_unstructured,0.12121212482452393,0.3030303120613098,0.4787878692150116,0.296969696969697,0.6909090909090909,0.2302434291909221,4.333943843841553,29,65,39,12,95,70,0.12631578947368421,0.11428571428571428,0.012030075187969932
0.45,joint,static,l1_unstructured,0.072727270424366,0.21212121844291687,0.3757575750350952,0.17575757575757575,0.7696969696969697,0.1722388257574538,4.495837211608887,17,98,27,11,95,70,0.05263157894736842,0.1,-0.04736842105263159
0.475,joint,static,l1_unstructured,0.05454545468091965,0.20606060326099396,0.4000000059604645,0.17575757575757575,0.7757575757575758,0.15983143046440695,4.748025417327881,20,99,27,10,95,70,0.07368421052631578,0.02857142857142857,0.045112781954887216
0.5,joint,static,l1_unstructured,0.042424242943525314,0.17575757205486298,0.3393939435482025,0.10909090909090909,0.7636363636363637,0.13864436652814174,4.80306339263916,11,108,29,10,95,70,0.06315789473684211,0.014285714285714285,0.048872180451127824
0.525,joint,static,l1_unstructured,0.036363635212183,0.1818181872367859,0.30909091234207153,0.15757575757575756,0.7878787878787878,0.13483395515331212,4.923680782318115,20,104,25,10,95,70,0.06315789473684211,0.0,0.06315789473684211
0.55,joint,static,l1_unstructured,0.03030303120613098,0.145454540848732,0.35757574439048767,0.1696969696969697,0.7696969696969697,0.12587658973803922,5.013911724090576,23,99,24,14,95,70,0.0,0.07142857142857142,-0.07142857142857142
0.575,joint,static,l1_unstructured,0.03030303120613098,0.1515151560306549,0.30909091234207153,0.1393939393939394,0.7878787878787878,0.12196107703786539,4.999012470245361,18,107,25,10,95,70,0.0,0.07142857142857142,-0.07142857142857142
0.6,joint,static,l1_unstructured,0.024242423474788666,0.1515151560306549,0.3030303120613098,0.08484848484848485,0.7757575757575758,0.120805758851987,5.01970911026001,10,114,25,12,95,70,0.031578947368421054,0.014285714285714285,0.01729323308270677
0.625,joint,static,l1_unstructured,0.024242423474788666,0.16969697177410126,0.290909081697464,0.16363636363636364,0.6727272727272727,0.12513264047219694,5.032253742218018,23,84,14,40,95,70,0.042105263157894736,0.0,0.042105263157894736
0.65,joint,static,l1_unstructured,0.03030303120613098,0.15757575631141663,0.2969697117805481,0.18181818181818182,0.7878787878787878,0.12570008515686037,5.0231146812438965,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.675,joint,static,l1_unstructured,0.03030303120613098,0.145454540848732,0.31515151262283325,0.18181818181818182,0.7878787878787878,0.1264411370970383,5.025155544281006,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.7,joint,static,l1_unstructured,0.03030303120613098,0.145454540848732,0.2969697117805481,0.18181818181818182,0.7878787878787878,0.12441436373864376,5.028502464294434,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.725,joint,static,l1_unstructured,0.03030303120613098,0.13333334028720856,0.32121211290359497,0.18181818181818182,0.7878787878787878,0.12067964329032442,5.034687042236328,25,100,25,10,95,70,0.05263157894736842,0.0,0.05263157894736842
0.75,joint,static,l1_unstructured,0.036363635212183,0.13333334028720856,0.3030303120613098,0.12121212121212122,0.7878787878787878,0.12642531729645218,5.034792423248291,14,110,25,10,95,70,0.0,0.08571428571428572,-0.08571428571428572
