pruning_level,scenario,masking_mode,pruning_method,top1_specific_acc,top5_specific_acc,top10_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,coordinate error,superordinate error,domain error,domain collapse,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality
0.0,vision_only,static,l1_unstructured,0.7030302882194519,0.9515151381492615,0.9818181991577148,0.896969696969697,0.9636363636363636,0.8067423940856543,1.2407426834106445,32,11,4,2,95,70,0.7473684210526316,0.6428571428571429,0.10451127819548867
0.025,vision_only,static,l1_unstructured,0.7030302882194519,0.9515151381492615,0.9818181991577148,0.896969696969697,0.9636363636363636,0.8067003065435666,1.2380114793777466,32,11,4,2,95,70,0.7473684210526316,0.6428571428571429,0.10451127819548867
0.05,vision_only,static,l1_unstructured,0.7090908885002136,0.9515151381492615,0.9818181991577148,0.896969696969697,0.9575757575757575,0.8087878486311089,1.2305645942687988,31,10,5,2,95,70,0.7578947368421053,0.6428571428571429,0.11503759398496238
0.075,vision_only,static,l1_unstructured,0.7151514887809753,0.9515151381492615,0.9818181991577148,0.8909090909090909,0.9575757575757575,0.8101683200115803,1.2206621170043945,29,11,5,2,95,70,0.7684210526315789,0.6428571428571429,0.125563909774436
0.1,vision_only,static,l1_unstructured,0.7151514887809753,0.9515151381492615,0.9878787994384766,0.8787878787878788,0.9575757575757575,0.8151899951899951,1.2260773181915283,27,13,5,2,95,70,0.7684210526315789,0.6428571428571429,0.125563909774436
0.125,vision_only,static,l1_unstructured,0.7272727489471436,0.9515151381492615,0.9939393997192383,0.8909090909090909,0.9575757575757575,0.8294444444444445,1.2844301462173462,27,11,5,2,95,70,0.7894736842105263,0.6428571428571429,0.14661654135338342
0.15,vision_only,static,l1_unstructured,0.7454545497894287,0.9575757384300232,0.9878787994384766,0.9030303030303031,0.9696969696969697,0.8383189033189035,1.4022705554962158,26,11,3,2,95,70,0.8105263157894737,0.6571428571428571,0.1533834586466165
0.175,vision_only,static,l1_unstructured,0.7515151500701904,0.9515151381492615,0.9939393997192383,0.8909090909090909,0.9636363636363636,0.8446849446849447,1.4122345447540283,23,12,4,2,95,70,0.7684210526315789,0.7285714285714285,0.03984962406015036
0.2,vision_only,static,l1_unstructured,0.7151514887809753,0.9454545378684998,0.9818181991577148,0.8787878787878788,0.9636363636363636,0.8145871241058406,1.5349692106246948,27,14,4,2,95,70,0.6947368421052632,0.7428571428571429,-0.048120300751879674
0.225,vision_only,static,l1_unstructured,0.678787887096405,0.9515151381492615,0.9878787994384766,0.8545454545454545,0.9575757575757575,0.7891344177707813,1.6243114471435547,29,17,5,2,95,70,0.6736842105263158,0.6857142857142857,-0.012030075187969946
0.25,vision_only,static,l1_unstructured,0.6181818246841431,0.9212121367454529,0.9696969985961914,0.8,0.9333333333333333,0.7533840570204206,1.9006340503692627,30,22,8,3,95,70,0.6105263157894737,0.6285714285714286,-0.018045112781954864
0.275,vision_only,static,l1_unstructured,0.5757575631141663,0.8848484754562378,0.939393937587738,0.7515151515151515,0.9333333333333333,0.7072708268162814,2.168835163116455,29,30,8,3,95,70,0.5684210526315789,0.5857142857142857,-0.017293233082706805
